group,period_end,value
18 - 29 years,7/14/20,39
30 - 39 years,7/14/20,32.3
40 - 49 years,7/14/20,28.5
50 - 59 years,7/14/20,29.2
60 - 69 years,7/14/20,21.7
70 - 79 years,7/14/20,13.9
80 years and above,7/14/20,12
18 - 29 years,7/21/20,41.7
30 - 39 years,7/21/20,32.8
40 - 49 years,7/21/20,31
50 - 59 years,7/21/20,28.4
60 - 69 years,7/21/20,23.6
70 - 79 years,7/21/20,16.9
80 years and above,7/21/20,12.6
18 - 29 years,8/31/20,35.4
30 - 39 years,8/31/20,27.9
40 - 49 years,8/31/20,23.8
50 - 59 years,8/31/20,23.8
60 - 69 years,8/31/20,19.7
70 - 79 years,8/31/20,14.8
80 years and above,8/31/20,13.8
18 - 29 years,9/14/20,34.9
30 - 39 years,9/14/20,27.2
40 - 49 years,9/14/20,25.8
50 - 59 years,9/14/20,23.1
60 - 69 years,9/14/20,19.4
70 - 79 years,9/14/20,14.9
80 years and above,9/14/20,13.3
18 - 29 years,9/28/20,35.7
30 - 39 years,9/28/20,28.5
40 - 49 years,9/28/20,25.1
50 - 59 years,9/28/20,23.6
60 - 69 years,9/28/20,20.8
70 - 79 years,9/28/20,15.5
80 years and above,9/28/20,12.5
18 - 29 years,10/12/20,39.3
30 - 39 years,10/12/20,28.4
40 - 49 years,10/12/20,26.4
50 - 59 years,10/12/20,22.6
60 - 69 years,10/12/20,19.6
70 - 79 years,10/12/20,15
80 years and above,10/12/20,10.8
18 - 29 years,10/26/20,39
30 - 39 years,10/26/20,30.3
40 - 49 years,10/26/20,26.3
50 - 59 years,10/26/20,23.7
60 - 69 years,10/26/20,20.4
70 - 79 years,10/26/20,15.4
80 years and above,10/26/20,13.3
18 - 29 years,11/9/20,43.4
30 - 39 years,11/9/20,33.5
40 - 49 years,11/9/20,27.4
50 - 59 years,11/9/20,25.5
60 - 69 years,11/9/20,20.5
70 - 79 years,11/9/20,16.4
80 years and above,11/9/20,12.6
18 - 29 years,11/23/20,43.4
30 - 39 years,11/23/20,32.2
40 - 49 years,11/23/20,29.9
50 - 59 years,11/23/20,26.7
60 - 69 years,11/23/20,21.5
70 - 79 years,11/23/20,17.2
80 years and above,11/23/20,18.2
18 - 29 years,12/7/20,42.1
30 - 39 years,12/7/20,33.4
40 - 49 years,12/7/20,30.5
50 - 59 years,12/7/20,28
60 - 69 years,12/7/20,21.7
70 - 79 years,12/7/20,17.2
80 years and above,12/7/20,14.4
18 - 29 years,12/21/20,43.6
30 - 39 years,12/21/20,34.9
40 - 49 years,12/21/20,31.5
50 - 59 years,12/21/20,28.9
60 - 69 years,12/21/20,22.5
70 - 79 years,12/21/20,18.4
80 years and above,12/21/20,21.7
18 - 29 years,1/18/21,41.1
30 - 39 years,1/18/21,31.9
40 - 49 years,1/18/21,29.1
50 - 59 years,1/18/21,27.1
60 - 69 years,1/18/21,22.3
70 - 79 years,1/18/21,18.7
80 years and above,1/18/21,18.4
18 - 29 years,2/1/21,43.4
30 - 39 years,2/1/21,31.6
40 - 49 years,2/1/21,27.1
50 - 59 years,2/1/21,28
60 - 69 years,2/1/21,22.4
70 - 79 years,2/1/21,17.7
80 years and above,2/1/21,15.3
18 - 29 years,2/15/21,43.9
30 - 39 years,2/15/21,31.2
40 - 49 years,2/15/21,28.1
50 - 59 years,2/15/21,26
60 - 69 years,2/15/21,23
70 - 79 years,2/15/21,16.2
80 years and above,2/15/21,16
18 - 29 years,3/1/21,43.2
30 - 39 years,3/1/21,31.7
40 - 49 years,3/1/21,27.1
50 - 59 years,3/1/21,27.1
60 - 69 years,3/1/21,21.1
70 - 79 years,3/1/21,16.9
80 years and above,3/1/21,14.9
18 - 29 years,3/15/21,41.2
30 - 39 years,3/15/21,30.7
40 - 49 years,3/15/21,26.5
50 - 59 years,3/15/21,23.7
60 - 69 years,3/15/21,19.3
70 - 79 years,3/15/21,15.4
80 years and above,3/15/21,18
18 - 29 years,3/29/21,38.4
30 - 39 years,3/29/21,29
40 - 49 years,3/29/21,25.6
50 - 59 years,3/29/21,22.1
60 - 69 years,3/29/21,18.4
70 - 79 years,3/29/21,13.8
80 years and above,3/29/21,17.2
18 - 29 years,4/26/21,41.7
30 - 39 years,4/26/21,26.7
40 - 49 years,4/26/21,23.5
50 - 59 years,4/26/21,19.9
60 - 69 years,4/26/21,16.2
70 - 79 years,4/26/21,11.9
80 years and above,4/26/21,13.5
18 - 29 years,5/10/21,36.9
30 - 39 years,5/10/21,26.1
40 - 49 years,5/10/21,21.4
50 - 59 years,5/10/21,20.6
60 - 69 years,5/10/21,16.3
70 - 79 years,5/10/21,11.7
80 years and above,5/10/21,12.6
18 - 29 years,5/24/21,34.6
30 - 39 years,5/24/21,25.8
40 - 49 years,5/24/21,22.7
50 - 59 years,5/24/21,19.6
60 - 69 years,5/24/21,15.7
70 - 79 years,5/24/21,12.1
80 years and above,5/24/21,10.2
18 - 29 years,6/7/21,33.4
30 - 39 years,6/7/21,25.2
40 - 49 years,6/7/21,22.6
50 - 59 years,6/7/21,19.4
60 - 69 years,6/7/21,14.7
70 - 79 years,6/7/21,11.4
80 years and above,6/7/21,8.2
18 - 29 years,6/21/21,36
30 - 39 years,6/21/21,25.4
40 - 49 years,6/21/21,23.2
50 - 59 years,6/21/21,19.5
60 - 69 years,6/21/21,16
70 - 79 years,6/21/21,10.7
80 years and above,6/21/21,6.4
18 - 29 years,7/5/21,37.3
30 - 39 years,7/5/21,24.4
40 - 49 years,7/5/21,21.8
50 - 59 years,7/5/21,18.9
60 - 69 years,7/5/21,14.2
70 - 79 years,7/5/21,10.3
80 years and above,7/5/21,11.4
18 - 29 years,8/2/21,38.6
30 - 39 years,8/2/21,26.7
40 - 49 years,8/2/21,22.5
50 - 59 years,8/2/21,18.6
60 - 69 years,8/2/21,15.3
70 - 79 years,8/2/21,11.1
80 years and above,8/2/21,13.2
18 - 29 years,8/16/21,33.2
30 - 39 years,8/16/21,26.7
40 - 49 years,8/16/21,22.8
50 - 59 years,8/16/21,19.6
60 - 69 years,8/16/21,14.6
70 - 79 years,8/16/21,10.3
80 years and above,8/16/21,11.4
18 - 29 years,8/30/21,36.7
30 - 39 years,8/30/21,28.1
40 - 49 years,8/30/21,22.9
50 - 59 years,8/30/21,20.8
60 - 69 years,8/30/21,16
70 - 79 years,8/30/21,10.9
80 years and above,8/30/21,9.8
18 - 29 years,9/13/21,38.1
30 - 39 years,9/13/21,26.5
40 - 49 years,9/13/21,24.8
50 - 59 years,9/13/21,19.8
60 - 69 years,9/13/21,15.2
70 - 79 years,9/13/21,10.1
80 years and above,9/13/21,12.5
18 - 29 years,9/27/21,36.4
30 - 39 years,9/27/21,26.8
40 - 49 years,9/27/21,22.3
50 - 59 years,9/27/21,21.9
60 - 69 years,9/27/21,15.5
70 - 79 years,9/27/21,10.7
80 years and above,9/27/21,12.2
18 - 29 years,10/11/21,36
30 - 39 years,10/11/21,25.7
40 - 49 years,10/11/21,23.9
50 - 59 years,10/11/21,20.3
60 - 69 years,10/11/21,15.1
70 - 79 years,10/11/21,10.5
80 years and above,10/11/21,12.5
18 - 29 years,12/13/21,32.6
30 - 39 years,12/13/21,25.3
40 - 49 years,12/13/21,24
50 - 59 years,12/13/21,21
60 - 69 years,12/13/21,14.4
70 - 79 years,12/13/21,9.4
80 years and above,12/13/21,13.2
18 - 29 years,1/10/22,35.4
30 - 39 years,1/10/22,28.5
40 - 49 years,1/10/22,24
50 - 59 years,1/10/22,20.9
60 - 69 years,1/10/22,16.3
70 - 79 years,1/10/22,11.2
80 years and above,1/10/22,9
18 - 29 years,2/7/22,35.5
30 - 39 years,2/7/22,29.3
40 - 49 years,2/7/22,22.3
50 - 59 years,2/7/22,20.2
60 - 69 years,2/7/22,15.3
70 - 79 years,2/7/22,10.1
80 years and above,2/7/22,8.2
18 - 29 years,3/14/22,34.7
30 - 39 years,3/14/22,26.7
40 - 49 years,3/14/22,22.6
50 - 59 years,3/14/22,19.4
60 - 69 years,3/14/22,15.5
70 - 79 years,3/14/22,11
80 years and above,3/14/22,12.8
18 - 29 years,4/11/22,35.3
30 - 39 years,4/11/22,27.7
40 - 49 years,4/11/22,23.1
50 - 59 years,4/11/22,20.3
60 - 69 years,4/11/22,14.8
70 - 79 years,4/11/22,10.6
80 years and above,4/11/22,7
18 - 29 years,5/9/22,34.5
30 - 39 years,5/9/22,29.2
40 - 49 years,5/9/22,23.4
50 - 59 years,5/9/22,21.6
60 - 69 years,5/9/22,13.5
70 - 79 years,5/9/22,10.2
80 years and above,5/9/22,9.5
18 - 29 years,6/13/22,36.6
30 - 39 years,6/13/22,26.8
40 - 49 years,6/13/22,22.6
50 - 59 years,6/13/22,21.9
60 - 69 years,6/13/22,16.2
70 - 79 years,6/13/22,10.3
80 years and above,6/13/22,13.4
