group,period_end,value
"Non-Hispanic Black, single race",10/11/21,12.1
"Non-Hispanic Asian, single race",10/11/21,5.2
"Non-Hispanic, other races and multiple races",10/11/21,15.6
Hispanic or Latino,12/13/21,11.7
"Non-Hispanic White, single race",12/13/21,10.8
"Non-Hispanic Black, single race",12/13/21,12.4
"Non-Hispanic Asian, single race",12/13/21,7.7
"Non-Hispanic, other races and multiple races",12/13/21,16.3
Hispanic or Latino,1/10/22,11.2
"Non-Hispanic White, single race",1/10/22,11
"Non-Hispanic Black, single race",1/10/22,12.4
"Non-Hispanic Asian, single race",1/10/22,6.8
"Non-Hispanic, other races and multiple races",1/10/22,19.8
Hispanic or Latino,2/7/22,12.9
"Non-Hispanic White, single race",2/7/22,10.9
"Non-Hispanic Black, single race",2/7/22,10.7
"Non-Hispanic Asian, single race",2/7/22,5.6
"Non-Hispanic, other races and multiple races",2/7/22,16.5
Hispanic or Latino,3/14/22,12.7
"Non-Hispanic White, single race",3/14/22,11.4
"Non-Hispanic Black, single race",3/14/22,11.2
"Non-Hispanic Asian, single race",3/14/22,5.6
"Non-Hispanic, other races and multiple races",3/14/22,17.3
Hispanic or Latino,4/11/22,12.9
"Non-Hispanic White, single race",4/11/22,10.9
"Non-Hispanic Black, single race",4/11/22,13.3
"Non-Hispanic Asian, single race",4/11/22,6.7
"Non-Hispanic, other races and multiple races",4/11/22,16.8
Hispanic or Latino,5/9/22,13.2
"Non-Hispanic White, single race",5/9/22,11.1
"Non-Hispanic Black, single race",5/9/22,12.4
"Non-Hispanic Asian, single race",5/9/22,6.4
"Non-Hispanic, other races and multiple races",5/9/22,17.2
