group,period_end,value
50 - 59 years,6/7/21,9.6
60 - 69 years,6/7/21,5.8
70 - 79 years,6/7/21,4.3
80 years and above,6/7/21,3.3
18 - 29 years,6/21/21,13.9
30 - 39 years,6/21/21,14.2
40 - 49 years,6/21/21,11.6
50 - 59 years,6/21/21,9.1
60 - 69 years,6/21/21,5.5
70 - 79 years,6/21/21,3.7
80 years and above,6/21/21,3.5
18 - 29 years,7/5/21,18.6
30 - 39 years,7/5/21,15.3
40 - 49 years,7/5/21,11.7
50 - 59 years,7/5/21,9
60 - 69 years,7/5/21,6.5
70 - 79 years,7/5/21,4.1
80 years and above,7/5/21,4.4
18 - 29 years,8/2/21,16.9
30 - 39 years,8/2/21,15.9
40 - 49 years,8/2/21,11.2
50 - 59 years,8/2/21,9.2
60 - 69 years,8/2/21,6.3
70 - 79 years,8/2/21,4.4
80 years and above,8/2/21,6
18 - 29 years,8/16/21,15.6
30 - 39 years,8/16/21,14.2
40 - 49 years,8/16/21,11.2
50 - 59 years,8/16/21,9.4
60 - 69 years,8/16/21,6.2
70 - 79 years,8/16/21,3.5
80 years and above,8/16/21,2.3
18 - 29 years,8/30/21,14.8
30 - 39 years,8/30/21,14.4
40 - 49 years,8/30/21,10.7
50 - 59 years,8/30/21,9.7
60 - 69 years,8/30/21,6.6
70 - 79 years,8/30/21,4.5
80 years and above,8/30/21,3.6
18 - 29 years,9/13/21,15.6
30 - 39 years,9/13/21,14.5
40 - 49 years,9/13/21,11.9
50 - 59 years,9/13/21,8.8
60 - 69 years,9/13/21,6.3
70 - 79 years,9/13/21,5.3
80 years and above,9/13/21,3.2
18 - 29 years,9/27/21,14.5
30 - 39 years,9/27/21,15.2
40 - 49 years,9/27/21,10.9
50 - 59 years,9/27/21,10.2
60 - 69 years,9/27/21,6.1
70 - 79 years,9/27/21,3.9
80 years and above,9/27/21,3.1
18 - 29 years,10/11/21,15.3
30 - 39 years,10/11/21,14.7
40 - 49 years,10/11/21,11.9
50 - 59 years,10/11/21,9.5
60 - 69 years,10/11/21,7
70 - 79 years,10/11/21,4.2
80 years and above,10/11/21,5.1
18 - 29 years,12/13/21,14.1
30 - 39 years,12/13/21,15.3
40 - 49 years,12/13/21,12.6
50 - 59 years,12/13/21,8.5
60 - 69 years,12/13/21,6.2
70 - 79 years,12/13/21,4.2
80 years and above,12/13/21,4.4
18 - 29 years,1/10/22,15.7
30 - 39 years,1/10/22,15.1
40 - 49 years,1/10/22,12.1
50 - 59 years,1/10/22,9.2
60 - 69 years,1/10/22,6.2
70 - 79 years,1/10/22,5.5
80 years and above,1/10/22,2.2
18 - 29 years,2/7/22,16.5
30 - 39 years,2/7/22,15.1
40 - 49 years,2/7/22,11.2
50 - 59 years,2/7/22,9.8
60 - 69 years,2/7/22,5.8
70 - 79 years,2/7/22,4.6
80 years and above,2/7/22,3.6
18 - 29 years,3/14/22,18.9
30 - 39 years,3/14/22,16
40 - 49 years,3/14/22,12.4
50 - 59 years,3/14/22,8.9
60 - 69 years,3/14/22,7
70 - 79 years,3/14/22,4.4
80 years and above,3/14/22,5.8
18 - 29 years,4/11/22,17
30 - 39 years,4/11/22,15.7
40 - 49 years,4/11/22,12
50 - 59 years,4/11/22,9.6
60 - 69 years,4/11/22,7.4
70 - 79 years,4/11/22,4
80 years and above,4/11/22,4.8
18 - 29 years,5/9/22,16.6
30 - 39 years,5/9/22,17.2
40 - 49 years,5/9/22,12.7
50 - 59 years,5/9/22,10.2
60 - 69 years,5/9/22,7.1
70 - 79 years,5/9/22,4.3
80 years and above,5/9/22,2
